Time,AmplitudeBandWidth,AmplitudeMean,NumberOverloads,NumberUnderloads,StabilizationTime,StableWeight,WeightValue
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:15,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:16,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:16,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:16,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
2018-03-25 15:19:16,3311.0,1355.2279999999998,0.0,0.0,-1.0,True,0.0
